likes,comments,caption,time
1444937,5958,"Vamos preparar bem o Mundial e ajudar as vítimas dos incêndios. Bom jogo, malta! #tudoporportugal",2017-11-10 13:10:30
2307840,7976,Special guest today in training ground 👌👌👌❤️,2017-11-10 07:14:11
2127308,16414,"@cr7junior IS LIVE 👖 ⚽ Now available on 👉 CR7.com #PressPlay #CR7Junior 
#CR7Denim",2017-11-09 07:09:50
4198359,21040,"Like father like son 😜 We are excited to launch our CR7 Junior denim collection. Now available
on 👉 CR7.com #PressPlay #CR7Junior @cr7junior",2017-11-08 14:47:58
3629786,19218,Esta é a maneira que eu vivo a vida sorridente e positivo 👌😘🥇✌️,2017-11-08 13:10:04
5265541,26457,Work done ✈️👌👌👌,2017-11-07 15:03:38
2412203,7146,Always nice to see you bro👌❤️✌️,2017-11-07 14:08:28
3221976,12195,Business trip with my partner✈️👌👌👌,2017-11-07 06:59:30
768486,5425,Building mega projects with the world latest green steel.. this is what I call real innovation. @ahmedabohashima @egyptiansteel #A_New_Generation_Of _Steel.,2017-11-06 12:59:41
3050423,12407,"💎👌⚽ Chapter 5: available on nike.com/CR7 
#mercurial #CR7 @nikefootball",2017-11-06 07:33:37
3320022,25347,⚽️👌,2017-11-04 08:47:55
4299300,21373,👌,2017-11-04 05:22:16
2354888,19259,Learn the secrets to my success at ROCLiveLifeLoud.com,2017-11-03 14:48:33
1472837,10201,CLEAR Men: World’s #1 Men Shampoo ☝🏼,2017-11-03 08:30:48
4414549,25684,✌️,2017-11-02 17:12:21
3789449,23993,Traveling next to my neighbor!!👌🏽✈️,2017-10-31 06:04:28
2796058,15894,"Comfort is the new luxury👌 Loving my new CR7 woven shirt. Styles for everyday. CR7.com 👔 💪@CR7Limitless #DesignedToMoveYou #CR7Denim 
www.cr7.com",2017-10-30 14:04:13
3259739,17307,Positive mind 👌✌️,2017-10-30 08:47:18
3866165,23732,✌️👌,2017-10-28 16:56:14
1013151,6977,"I vote for my hometown, Madeira, as the world’s leading Island Destination 2017.  Are you with me? 
VISIT THE LINK BELLOW AND VOTE FOR MADEIRA 😉
http://bit.ly/voteformadeira 
For more information about the Island @visitmadeira !
#madeiraisland #visitmadeira",2017-10-28 06:00:21
1821075,13296,Camo style! 👍🏼 @CR7Underwear #CR7Underwear,2017-10-27 13:27:38
