likes,comments,caption,time
27896,173,"You are really special Jonas Burgert 
#Berlin",2017-11-10 19:18:19
19759,168,It’s almost time for part 1 of our #Season16 @ProjectRunway finale! Don’t miss it on @LifetimeTV tonight!,2017-11-09 15:02:10
19856,105,It’s finally here! Our @ProjectRunway #Season16 finale starts tonight on @lifetimetv! Tune in tonight to find out who will make it to #NYFW!,2017-11-09 12:25:02
52928,269,😊☀️👙🌴💦🌈,2017-11-06 18:37:47
76456,366,WOW 🌈❤️😻,2017-11-06 18:28:38
49318,406,#GNTM2018 🙀😻😸,2017-11-06 14:02:17
61031,416,Todays office @heidiklumintimates #swimwear @rankinarchive @lindahaymakeup @wendyiles_hair 👙☀️,2017-11-04 17:29:10
56850,431,Enjoy your weekend with @heidiklumintimates,2017-11-04 10:42:33
75874,548,Erster shooting Tag für #GNTM2018  mit meinen zwei Süßen ❤️❤️@thomashayo @michael.michalsky,2017-11-03 19:53:05
20581,162,Almost time for an all new episode of @ProjectRunway on @LifetimeTV with #GuestJudge @KatieHolmes212!,2017-11-02 14:07:17
26233,89,Our amazing #GuestJudge on @ProjectRunway tonight is @KatieHolmes212!,2017-11-02 11:15:06
76470,1348,"Thank you to my amazing zombies! 
@draico
@onstagemedia
@cglur
@iliajessicacastro
@Brittsugarman1
@SHERNITASOFLY
@danielralph04
@itspco
@jswagg93
@im_miikey
@migzmigzmigz
@_jjenks 🎥 @kdbnyc
#heidihalloween",2017-11-01 18:29:46
43428,372,"I admire and respect your work so much. You guys are true artists. Thank you! 
@prorenfx
@mikefontaine_
@nikkifontaine 
@newyorknorm
@artsakamoto
@anthonycanonica
@joebadialimufx
@scottmwallace
@caseylovedesigns
@newyorknorm
@overture_fx
@izzigalindofx
@lauren.tirpak
@zannyzach
@9mmsfx
@atelierizquierdo
@mazdackrassi
@milk
@mabelmilo
@spottedowl 
@itzandrew1121
🎥 @kdbnyc
#heidihalloween",2017-11-01 18:13:34
211366,2942,What a night #HeidiHalloween! Thank you @PartyCity @prorenfx @mikefontaine_ @nikkifontaine @draico @cglur @iliajessicacastro @Brittsugarman1 @SHERNITASOFLY @danielralph04 @itspco @jswagg93 @im_miikey @migzmigzmigz @_jjenks @atelierizquierdo @magichourny @svedkavodka,2017-11-01 10:22:38
295497,3583,Happy Halloween!!!! 🖤🎃🕷💀🦇👻,2017-11-01 02:58:31
42422,776,[no caption],2017-10-31 18:14:19
27214,296,@prorenfx #heidihalloween,2017-10-31 17:46:42
23402,250,[no caption],2017-10-31 17:09:29
29273,317,[no caption],2017-10-31 15:49:38
49703,563,[no caption],2017-10-31 15:40:34
31882,139,Team #heidihalloween,2017-10-31 15:26:11
21579,120,"Clean face 
#heidihalloween",2017-10-31 14:54:25
36692,336,Happy Halloween 🎃 #heidihalloween,2017-10-31 13:38:10
39703,171,Always so much fun on @LateNightSeth! Loved talking about @ProjectRunway and @HeidiKlumIntimates on last night’s episode,2017-10-31 11:34:45
61399,285,"Lets have some fun Halloween
 L🎃VERS ....!! Show me all you got 😈👹🦄👻🤖☠️
#heidihalloween",2017-10-31 10:54:56
54923,350,Getting ready for @latenightseth,2017-10-30 19:57:13
15395,61,"Before I’m on @LateNightSeth tonight, I’m taking over their Instagram Story! Follow them to go behind the scenes with me! 📸 @francescocarrozzini",2017-10-30 18:06:03
28393,200,#HeidiHalloween #2016 @gettyentertainment,2017-10-30 09:28:44
45000,296,#HeidiHalloween #2015 @gettyentertainment,2017-10-29 13:30:11
37030,186,#HeidiHalloween #2014 @gettyentertainment,2017-10-28 14:00:54
71271,862,#HeidiHalloween #2013 @gettyentertainment,2017-10-27 13:03:46
29816,280,"Halloween is getting closer and closer ......
#heidihalloween 😈👁💥🎃👺👀😱🎉",2017-10-27 11:11:28
19527,130,Need the perfect soundtrack to get you into the Halloween spirit? Check out my new @Spotify playlist (link in bio). I'm not going to tell you what my costume is this year but I have hid an Easter egg to give you a hint. #HeidiHalloween,2017-10-27 11:00:21
19587,78,Design meeting  @heidiklumintimates 😛,2017-10-26 19:55:53
21380,68,Design meeting @heidiklumintimates 😊,2017-10-26 19:53:34
26970,111,#HeidiHalloween #2012 @gettyentertainment,2017-10-26 18:16:26
15811,90,Our special guest judge on @ProjectRunway tonight is… @RachelBrosnahan!,2017-10-26 15:42:02
20334,62,Don’t miss an all new @ProjectRunway tonight with @RachelBrosnahan! #GuestJudge #ProjectRunway,2017-10-26 11:01:24
37257,256,Such an amazing night celebrating @zacposen with @elizabethtayloraidsfoundation and @mothers2mothers! Happy birthday 💙 📸: @gettyentertainment @heartquakepics,2017-10-25 12:04:12
46943,521,#HeidiHalloween #2011 @gettyentertainment,2017-10-25 11:13:48
