likes,comments,caption,time
24111,74,#jenniferlawrence,2017-11-12 19:30:03
50303,230,#jenniferlawrence,2017-11-09 18:05:02
37476,166,#jenniferlawrence,2017-11-08 04:21:51
38545,148,#jenniferlawrence,2017-11-06 17:59:43
36551,165,#jenniferlawrence 😍,2017-11-05 17:16:48
33188,116,#jenniferlawrence,2017-11-05 02:38:46
29331,110,#jenniferlawrence and @kimkardashian on @jimmykimmellive show!,2017-11-03 19:06:53
38347,185,#jenniferlawrence 😍,2017-11-02 03:50:11
34126,100,#tbt#Abercrombieandfitch#jenniferlawrence,2017-11-01 05:33:42
53361,273,#jenniferlawrence,2017-10-29 04:24:54
40051,128,#jenniferlawrence,2017-10-28 06:30:07
43403,165,#jenniferlawrence,2017-10-27 06:09:45
40607,164,#jenniferlawrence,2017-10-23 04:12:48
56756,230,#tbt #jenniferlawrence,2017-10-21 04:56:24
39536,213,#jenniferlawrence,2017-10-17 18:21:44
49998,189,#jenniferlawrence,2017-10-17 03:47:13
49220,217,#jenniferlawrence,2017-10-13 19:19:57
39593,138,#jenniferlawrence,2017-10-11 20:21:36
35619,164,900k 🙌🏽 #jenniferlawrence 😍,2017-10-09 03:18:26
46239,225,#jenniferlawrence,2017-10-07 19:02:18
36343,116,#jenniferlawrence,2017-10-05 04:21:04
34606,100,#tbt #jenniferlawrence,2017-10-04 02:07:49
37903,120,#jenniferlawrence,2017-10-03 04:17:03
29138,169,#jenniferlawrence,2017-10-02 09:02:01
32399,110,#jenniferlawrence,2017-10-01 03:45:12
40133,114,#jenniferlawrence,2017-09-29 06:32:23
36195,167,"#jenniferlawrence for Elle, wearing @Dior",2017-09-27 13:56:25
40204,193,#jenniferlawrence,2017-09-25 09:55:41
38528,177,#jenniferlawrence,2017-09-23 18:38:39
39649,178,#jenniferlawrence,2017-09-22 16:52:49
44154,179,#jenniferlawrence,2017-09-20 04:18:10
48196,279,#jenniferlawrence,2017-09-17 12:40:02
48894,264,#jenniferlawrence,2017-09-14 18:33:11
38882,163,#jenniferlawrence,2017-09-14 01:04:16
32354,160,#jenniferlawrence,2017-09-12 04:56:48
33011,224,#jenniferlawrence,2017-09-10 16:17:56
42977,240,#jenniferlawrence,2017-09-09 17:34:59
35895,398,#jenniferlawrence,2017-09-08 03:33:07
53939,284,#jenniferlawrence,2017-09-06 16:10:14
41791,193,#jenniferlawrence,2017-09-05 19:44:43
39790,157,#jenniferlawrence,2017-09-03 19:10:28
49605,167,#tbt#jenniferlawrence#mockingjaypart2 😍,2017-09-01 19:39:00
34871,179,#jenniferlawrence,2017-08-31 14:24:13
34262,153,#jenniferlawrence,2017-08-30 18:54:52
34048,152,"New still from #Mother 🙉😍
#jenniferlawrence",2017-08-29 07:47:40
29424,115,#jenniferlawrence,2017-08-28 02:22:01
37596,127,#jenniferlawrence @dior,2017-08-25 04:59:10
34889,199,#jenniferlawrence,2017-08-23 06:06:52
28532,127,#jenniferlawrence,2017-08-22 02:22:50
37633,179,#jenniferlawrence,2017-08-20 03:14:55
40622,255,#JenniferLawrence,2017-08-18 04:27:36
32266,139,#JenniferLawrence,2017-08-17 16:57:41
